Tip	test
431.00	431.01	0.01
235.00	235.09	0.09
870.00	869.69	-0.31
1571.00	1570.89	-0.11
994.00	993.91	-0.09
563.00	563.03	0.03
1345.00	1344.87	-0.13
2096.00	2096.04	0.04
1149.00	1149.05	0.05
2087.00	2087.15	0.15
1535.00	1534.80	-0.20
1532.00	1532.27	0.27
1555.00	1555.11	0.11
345.00	344.79	-0.21
588.00	588.37	0.37
652.00	651.65	-0.35
683.00	683.24	0.24
1395.00	1395.49	0.49
1167.00	1167.11	0.11
1016.00	1016.00	0.00
1955.00	1955.30	0.30
1806.00	1805.68	-0.32
677.00	677.13	0.13
133.00	133.11	0.11
1409.00	1408.71	-0.29
1810.00	1810.29	0.29
588.00	588.37	0.37
758.00	757.85	-0.15
225.00	225.29	0.29
486.00	486.41	0.41
498.00	497.98	-0.02
1772.00	1772.19	0.19
515.00	515.04	0.04
126.00	126.13	0.13
1215.00	1214.83	-0.17
1009.00	1009.47	0.47
1014.00	1013.80	-0.20
309.00	308.87	-0.13
2173.00	2173.09	0.09
1578.00	1577.90	-0.10
1321.00	1321.00	-0.00
1526.00	1525.85	-0.15
1553.00	1552.81	-0.19
1181.00	1180.96	-0.04
2200.00	2199.78	-0.22
257.00	256.94	-0.06
1845.00	1844.68	-0.32
641.00	641.13	0.13
1092.00	1092.26	0.26
319.00	318.97	-0.03
690.00	689.85	-0.15
2019.00	2019.24	0.24
1528.00	1527.85	-0.15
1545.00	1545.07	0.07
2008.00	2008.13	0.13
242.00	241.78	-0.22
376.00	375.90	-0.10
1919.00	1919.09	0.09
1310.00	1310.40	0.40
368.00	367.78	-0.22
1914.00	1914.09	0.09
851.00	851.14	0.14
1702.00	1701.82	-0.18
1266.00	1265.81	-0.19
141.00	140.75	-0.25
58.00	57.92	-0.08
2174.00	2174.30	0.30
1542.00	1541.78	-0.22
398.00	398.05	0.05
814.00	814.19	0.19
2068.00	2067.78	-0.22
1094.00	1093.81	-0.19
1140.00	1139.81	-0.19
822.00	822.03	0.03
899.00	898.68	-0.32
323.00	323.18	0.18
2043.00	2043.19	0.19
487.00	486.91	-0.09
1317.00	1316.83	-0.17
966.00	966.13	0.13
799.00	799.03	0.03
1874.00	1873.63	-0.37
121.00	120.83	-0.17
422.00	421.68	-0.32
376.00	375.86	-0.14
845.00	845.22	0.22
597.00	596.86	-0.14
1933.00	1932.86	-0.14
1240.00	1240.06	0.06
1147.00	1147.01	0.01
631.00	630.97	-0.03
223.00	223.06	0.06
979.00	979.25	0.25
976.00	975.88	-0.12
1640.00	1640.01	0.01
1169.00	1168.94	-0.06
2158.00	2158.13	0.13
651.00	650.84	-0.16
155.00	154.68	-0.32
1330.00	1330.27	0.27
1829.00	1828.78	-0.22
1588.00	1587.84	-0.16
710.00	709.87	-0.13
1403.00	1402.91	-0.09
1929.00	1929.11	0.11
1457.00	1457.11	0.11
11.00	11.05	0.05
720.00	720.05	0.05
2073.00	2073.18	0.18
263.00	263.21	0.21
1007.00	1007.35	0.35
788.00	788.00	-0.00
1023.00	1023.16	0.16
1463.00	1462.96	-0.04
1087.00	1086.98	-0.02
1703.00	1702.75	-0.25
1648.00	1647.98	-0.02
1864.00	1863.98	-0.02
1422.00	1422.36	0.36
1892.00	1891.82	-0.18
1882.00	1882.38	0.38
2198.00	2198.05	0.05
